Packet,Benchmark,Component,Percentile Rank,# Compatible Public Results,Intervals,ns/day (Average),Microarchitecture,Release Date,Atoms,Market,Natoms*ns/day,vendor_id,Mem Bandwidth. GB/s,Mem Channels,CPU MHz,CPU max MHz,L3 cache,Cache L3. KB,L2 cache,Cache L2. KB,Core(s) per socket,Thread(s) per core,Socket(s),Cores,Threads,wiki FP32,GFLOPS,Base TDP. W,Price.$
LAMMPS_23Jun2022,Model_20k_Atoms,2 x Intel Xeon 6980P,100th,27,1,93,Granite Rapids,Q3'24,19605,Server,1823265,GenuineIntel,1689.6,24,2000,3900,1008 MiB (2 instances),1032192,512 MiB,524288,128,2,2,256,512,64,32768,1000,35600
LAMMPS_23Jun2022,Model_20k_Atoms,AMD EPYC 9965 192-Core,99th,11,11,81,Zen 5,Q4'24,19605,Server,1588005,AuthenticAMD,576,12,2250,3700,384 MiB,393216,192 MiB,196608,192,2,1,192,384,64,27648,500,16061
LAMMPS_23Jun2022,Model_20k_Atoms,2 x AMD EPYC 9755 128-Core,98th,20,7,78,Zen 5,Q4'24,19605,Server,1529190,AuthenticAMD,1152,24,2700,4100,1 GiB (32 instances),1048576,256 MiB,262144,128,2,2,256,512,64,44236.8,1000,25968
LAMMPS_23Jun2022,Model_20k_Atoms,2 x AMD EPYC 9655 96-Core,97th,5,1,77,Zen 5,Q4'24,19605,Server,1509585,AuthenticAMD,1152,24,2600,4500,768 MiB (24 instances),786432,192 MiB,196608,96,2,2,192,384,64,31948.8,800,23610
LAMMPS_23Jun2022,Model_20k_Atoms,2 x AMD EPYC 9575F 64-Core,97th,4,3,74,Zen 5,Q4'24,19605,Server,1450770,AuthenticAMD,1152,24,3300,5000,512 MiB (16 instances),524288,128 MiB,131072,64,2,2,128,256,64,27033.6,800,23582
LAMMPS_23Jun2022,Model_20k_Atoms,AMD EPYC 9755 128-Core,97th,18,6,71,Zen 5,Q4'24,19605,Server,1391955,AuthenticAMD,576,12,2700,4100,512 MiB,524288,128 MiB,131072,128,2,1,128,256,64,22118.4,500,12984
LAMMPS_23Jun2022,Model_20k_Atoms,Intel Xeon 6980P,96th,11,2,68,Granite Rapids,Q3'24,19605,Server,1333140,GenuineIntel,844.8,12,2000,3900,504 MiB (1 instance),516096,256 MiB,262144,128,2,1,128,256,64,16384,500,17800
LAMMPS_23Jun2022,Model_20k_Atoms,2 x AMD EPYC 9965 192-Core,96th,3,0,68,Zen 5,Q4'24,19605,Server,1333140,AuthenticAMD,1152,24,2250,3700,768 MiB,786432,384 MiB,393216,192,2,2,384,768,64,55296,1000,32122
LAMMPS_23Jun2022,Model_20k_Atoms,2 x AMD EPYC 9684X 96-Core,94th,4,0,62,Zen 4,Q2'23,19605,Server,1215510,AuthenticAMD,921.6,24,2550,3700,2.3 GiB (24 instances),2411724.8,192 MiB,196608,96,2,2,192,384,32,15667.2,800,29512
LAMMPS_23Jun2022,Model_20k_Atoms,4 x EPYC 9V64H,93rd,5,1.6,59.8,Zen 4,Q4'22,19605,Server,1172379,AuthenticAMD,2150.4,48,3500,4000,1536 MiB,1572864,384 MiB,393216,88,1,4,352,352,32,39424,1280,0.01
