category,segment_index,breakpoint,slope,ci_low,ci_high,n_segments,n_points
ALL_DATA,0,,0.6990685659822249,,,2,139
ALL_DATA,1,29058.020970769798,-0.3574261363438009,333.2266192240062,35819.9384183729,2,139
Zen 5,0,,0.7958958642656511,,,2,17
Zen 5,1,24357.96895526005,-0.13600713623641805,1536.1096418016211,32819.24944579707,2,17
Zen 4,0,,0.7430760997198297,,,2,39
Zen 4,1,11853.997512158676,0.008172615877285499,818.7670634334437,13640.884392971057,2,39
Sapphire Rapids,0,,0.821248670445261,,,2,12
Sapphire Rapids,1,9270.940059302884,0.35807930072174493,5953.68803001375,14107.403304244654,2,12
Zen 3,0,,0.6909995886687444,,,1,15
Zen 2,0,,0.8213990936772939,,,2,11
Zen 2,1,3788.8005756260427,0.49816102477298563,422.71854923283234,7295.498040882172,2,11
