category,segment_index,breakpoint,slope,ci_low,ci_high,n_segments,n_points
ALL_DATA,0,,0.6990685659822249,,,2,139
ALL_DATA,1,29058.020970769798,-0.3574261363438009,333.2266192240062,35819.9384183729,2,139
>$20000,0,,1.467429320393523,,,2,13
>$20000,1,20946.282696912458,-0.17701025204623977,9728.839948648956,42404.67035143429,2,13
$10000-20000,0,,0.6062091943325995,,,1,20
$5000-10000,0,,0.1940108577714889,,,1,11
$2000-5000,0,,0.463014073041934,,,1,13
$500-1000,0,,1.9632279705854228,,,2,27
$500-1000,1,896.4911489091609,0.41222594189491013,474.23616255709356,3756.0679878396263,2,27
$100-500,0,,0.704755090427027,,,1,40
