category,segment_index,breakpoint,slope,ci_low,ci_high,n_segments,n_points
ALL_DATA,0,,0.6990685659822249,,,2,139
ALL_DATA,1,29058.020970769798,-0.3574261363438009,333.2266192240062,35819.9384183729,2,139
2 x Intel,0,,1.287359665661242,,,2,13
2 x Intel,1,23169.547823240813,0.053331810511960856,6349.341878211578,30464.857148276027,2,13
AMD EPYC,0,,0.7642364116003176,,,2,31
AMD EPYC,1,7114.964011375563,0.43344287752137045,749.5761527754545,9911.158532413721,2,31
2 x AMD,0,,0.4858552710259888,,,2,13
2 x AMD,1,40070.89979782687,-0.6148217034722013,2054.0748160732014,51192.088178629216,2,13
Intel Xeon,0,,0.6323142132433809,,,2,18
Intel Xeon,1,2969.599971005818,1.05895753819696,474.6440767972757,4300.799981584218,2,18
AMD Ryzen,0,,0.681744553577484,,,1,45
Intel Core,0,,0.7392586895460652,,,1,18
