category,segment_index,breakpoint,slope,ci_low,ci_high,n_segments,n_points
ALL_DATA,0,,-0.30093143388928706,,,2,139
ALL_DATA,1,29058.020797725658,-1.3574261231092573,332.9284714569724,36297.82201058732,2,139
Zen 5,0,,-0.20410413578204092,,,2,17
Zen 5,1,24357.968962920797,-1.1360071365556101,1541.7677032170716,32819.249546737585,2,17
Zen 4,0,,-0.256923900280171,,,2,39
Zen 4,1,11853.997512158676,-0.9918273841227171,812.7047546887893,13424.257606013156,2,39
Sapphire Rapids,0,,-0.17875132406837288,,,2,12
Sapphire Rapids,1,9270.939640494355,-0.6419206536089576,6405.5766521962705,14237.457692518405,2,12
Zen 3,0,,-0.3090004113312563,,,1,15
Zen 2,0,,-0.17860090633377804,,,2,11
Zen 2,1,3788.8005783316794,-0.5018389755144597,424.04798401909613,7934.5617562966245,2,11
