category,segment_index,breakpoint,slope,ci_low,ci_high,n_segments,n_points
ALL_DATA,0,,-0.30093143388928706,,,2,139
ALL_DATA,1,29058.020797725658,-1.3574261231092573,332.9284714569724,36297.82201058732,2,139
>$20000,0,,0.4674293207793853,,,2,13
>$20000,1,20946.282691023905,-1.1770102516268481,9704.244455448543,47891.453823072276,2,13
$10000-20000,0,,-0.39379080566739766,,,1,20
$5000-10000,0,,-0.8059891422285089,,,1,11
$2000-5000,0,,-0.5369859269580655,,,1,13
$500-1000,0,,0.9641851656875421,,,2,27
$500-1000,1,895.9999977638872,-0.5874157376433672,473.89985758017417,3299.0546070207583,2,27
$100-500,0,,-0.2952449095729726,,,1,40
