category,segment_index,breakpoint,slope,ci_low,ci_high,n_segments,n_points
ALL_DATA,0,,-0.30093143388928706,,,2,139
ALL_DATA,1,29058.020797725658,-1.3574261231092573,332.9284714569724,36297.82201058732,2,139
2 x Intel,0,,0.07872758172706004,,,1,13
AMD EPYC,0,,-0.23576357723477245,,,2,31
AMD EPYC,1,7114.963236954958,-0.5665571049220298,753.6378869756925,9712.779852012134,2,31
2 x AMD,0,,-0.5141447287384965,,,2,13
2 x AMD,1,40070.89966978116,-1.614821692120946,2065.1988213183654,52972.45526777957,2,13
Intel Xeon,0,,-0.3678789783654434,,,2,18
Intel Xeon,1,2966.879104793754,0.05885877312435946,475.129568686626,4300.7999994740585,2,18
AMD Ryzen,0,,-0.3182554464225168,,,1,45
Intel Core,0,,-0.26074131045393417,,,1,18
