,CPU MHz,Cache L3. KB,Cache L2. KB,Cores,Threads,Mem Bandwidth. GB/s,GFLOPS,Mem Channels,Price.$,performance_per_dollar,adjusted_cost_per_ns_atom,L3 per core,inv_CPU MHz,inv_Cache L3. KB,inv_Cache L2. KB,inv_Cores,inv_Threads,inv_Mem Bandwidth. GB/s,inv_GFLOPS,inv_Mem Channels,inv_Price.$,inv_performance_per_dollar,inv_adjusted_cost_per_ns_atom,inv_L3 per core,Natoms*ns/day
CPU MHz,1.0,-0.24226776975252476,-0.4398792008116862,-0.40442649036078154,-0.44414287016202164,-0.36505287238147976,-0.3072199522015584,-0.4249313721225455,-0.5141222200504894,0.02448053759970161,-0.5347083228099121,0.30640278697924345,-0.9613980460942236,0.07919757500400877,0.15483671383987782,0.41936044511397086,0.40281154970950017,0.4864545618459231,0.1485903757422447,0.594834212727572,-0.1081472173719174,-0.5702668258156316,0.17087098229551875,-0.3971876545287061,-0.3964551839065514
Cache L3. KB,-0.24226776975252476,1.0,0.6617550277649131,0.7706818239049331,0.739596644978385,0.7536248672883796,0.6678117296316849,0.7421388506298356,0.6472909975910022,0.3186542809881925,0.45274610917123137,0.2901833882328401,0.1981983899687138,-0.40337597170648765,-0.276060506438692,-0.4513325986769818,-0.46376193741649685,-0.5021806491783687,-0.41684054869847714,-0.5272496326199803,0.013102265289185016,0.46646493927312443,-0.2634172948655851,-0.32103917529942183,0.6978766497701498
Cache L2. KB,-0.4398792008116862,0.6617550277649131,1.0,0.9118909253691633,0.8947580864409971,0.9191025156227516,0.879414001420769,0.8172826891061955,0.8421411338688024,0.2908168736362488,0.5660369891695692,-0.08664229049413305,0.42338077395410295,-0.428622270699498,-0.36328419218983604,-0.5611945408668856,-0.5671784170524374,-0.6327932056580919,-0.52063851115529,-0.643254507528594,-0.011066352449639967,0.5923493581181567,-0.31990009664225577,-0.01686551821936138,0.8786379810721727
Cores,-0.40442649036078154,0.7706818239049331,0.9118909253691633,1.0,0.9755841506991259,0.922939332170891,0.9318955862117441,0.8866228627042444,0.8044501524720564,0.3469826291572299,0.5609541632921813,-0.04290336761511242,0.35905738206131027,-0.45528102680795396,-0.3633076317426126,-0.5918107487545454,-0.599584378025979,-0.6398245823901243,-0.5316733182876862,-0.6763831753926257,0.012211660637590353,0.582513849797087,-0.32416747038060606,-0.062023099535183056,0.8772667264058319
Threads,-0.44414287016202164,0.739596644978385,0.8947580864409971,0.9755841506991259,1.0,0.8694999689024416,0.9167984659960535,0.8353837990870745,0.8729645475802168,0.13901747136975737,0.6149934720495317,-0.04215844875812443,0.39825755659147655,-0.4714135904412248,-0.3717922141099147,-0.6059948230976508,-0.6196849919597914,-0.6559431655268987,-0.5450256866553341,-0.6971351866585778,-0.07191073352285424,0.6449583197014368,-0.3527853765910679,-0.06250717134847103,0.8990778005228379
Mem Bandwidth. GB/s,-0.36505287238147976,0.7536248672883796,0.9191025156227516,0.922939332170891,0.8694999689024416,1.0,0.9015469742383345,0.9386213592402292,0.7698057927040803,0.4514075389512083,0.5322815586849484,-0.009420270521512555,0.3223887863427467,-0.44201220754762377,-0.357422014481481,-0.5571826583115388,-0.5682981801934867,-0.6744632632268721,-0.5152129125556479,-0.697334288131053,0.055207273340143186,0.5456138048058914,-0.31718292974835677,-0.09239197620435914,0.8778431655017268
GFLOPS,-0.3072199522015584,0.6678117296316849,0.879414001420769,0.9318955862117441,0.9167984659960535,0.9015469742383345,1.0,0.8249782624551517,0.7762523758613955,0.2913630157541573,0.4968160614429632,-0.05895439044660262,0.26224884355250244,-0.42012049145685243,-0.339048463741911,-0.5378045864014722,-0.5469809860944691,-0.5975227771899972,-0.5177419638154132,-0.617651399311605,-0.003852101106432565,0.5179762488661075,-0.2935324695191435,-0.053594957252392966,0.8803757397674273
Mem Channels,-0.4249313721225455,0.7421388506298356,0.8172826891061955,0.8866228627042444,0.8353837990870745,0.9386213592402292,0.8249782624551517,1.0,0.7653761179503816,0.4310560835224775,0.6756283778585215,-0.005169284747205408,0.3665052465814785,-0.48002442338699153,-0.3782166296359991,-0.6203855281686314,-0.637586343904374,-0.7359386300844818,-0.5568948788867694,-0.8145263347528464,0.021875828573135057,0.6752273985192114,-0.3931282504908691,-0.029703805613045683,0.8102507669381891
Price.$,-0.5141222200504894,0.6472909975910022,0.8421411338688024,0.8044501524720564,0.8729645475802168,0.7698057927040803,0.7762523758613955,0.7653761179503816,1.0,-0.09023389297683258,0.817607815784853,-0.03131329760045708,0.48101913323867385,-0.4726800534192968,-0.3731542619992825,-0.6103442979986585,-0.6268493162721513,-0.68842941612583,-0.5570614838058995,-0.7389244152142771,-0.16746952748061433,0.8552098024180331,-0.4058763821268315,-0.019319607793370556,0.8732999648372667
performance_per_dollar,0.02448053759970161,0.3186542809881925,0.2908168736362488,0.3469826291572299,0.13901747136975737,0.4514075389512083,0.2913630157541573,0.4310560835224775,-0.09023389297683258,1.0,-0.11285143724731415,-0.026970732317676056,-0.0344418516289965,0.029727036588991104,-0.01627463609257494,-0.05612684660486689,-0.039696105231835845,-0.08209894587191248,-0.02911060662168978,-0.07247128479434041,0.5388489805206158,-0.13443821578459952,0.18118129029178132,0.0311739129336764,0.11198303287116707
