,1S,2S,4S,Total,1Snum,2Snum,4Snum,Totalnum
Intel Skylake / Kaby Lake,2,0,0,2,7,0,0,7
Intel Cascade Lake,3,2,0,5,14,8,0,22
Intel Comet Lake,2,0,0,2,6,0,0,6
Intel Ice Lake,4,4,0,8,15,34,0,49
Intel Alder Lake / Raptor Lake,13,0,0,13,110,0,0,110
Intel Sapphire Rapids,7,5,0,12,30,31,0,61
Intel Emerald Rapids,1,1,0,2,7,24,0,31
Intel Granite Rapids,1,1,0,2,11,27,0,38
Intel Meteor Lake / Arrow Lake,3,0,0,3,27,0,0,27
AMD Zen / Zen+,6,2,0,8,39,7,0,46
AMD Zen 2,10,1,0,11,48,4,0,52
AMD Zen 3,12,3,0,15,111,14,0,125
AMD Zen 4,35,3,1,39,334,22,5,361
AMD Zen 5,13,4,0,17,149,32,0,181
Total,112,26,1,139,908,203,5,1116
